,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,0,3,male,-0.5525042627343654,1,0,2.1102132003465894,S,Third,man,True,Southampton,no,False
1,1,1,female,0.5964145197107078,1,0,4.2805931204649,C,First,woman,False,Cherbourg,yes,False
2,1,3,female,-0.2652745671230971,0,0,2.188856327665703,S,Third,woman,False,Southampton,yes,True
3,1,1,female,0.38099224800225656,1,0,3.9908341858524357,S,First,woman,False,Southampton,yes,False
4,0,3,male,0.38099224800225656,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
5,0,3,male,-0.22882591345669478,0,0,2.246892662898172,Q,Third,man,True,Queenstown,no,True
6,0,1,male,1.7453333021557809,0,0,3.967694202798607,S,First,man,True,Southampton,no,True
7,0,3,male,-1.9886527407907069,3,1,3.0944457464900235,S,Third,child,False,Southampton,no,False
8,1,3,female,-0.19346714322028,0,2,2.495953738718064,S,Third,woman,False,Southampton,yes,False
9,1,2,female,-1.126963653956902,1,0,3.436268471383741,C,Second,child,False,Cherbourg,yes,False
10,1,3,female,-1.8450378929850726,1,1,2.8735646395797834,S,Third,child,False,Southampton,yes,False
11,1,1,female,2.0325629977670494,0,0,3.3160025355989236,S,First,woman,False,Southampton,yes,True
12,0,3,male,-0.6961191105399995,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
13,0,3,male,0.6682219436135248,1,5,3.4742929367327062,S,Third,man,True,Southampton,no,False
14,0,3,female,-1.126963653956902,0,0,2.180891922715322,S,Third,child,False,Southampton,no,True
15,1,2,female,1.817140726058598,0,0,2.833213344056216,S,Second,woman,False,Southampton,yes,True
16,0,3,male,-1.9886527407907069,4,1,3.405355391810819,Q,Third,child,False,Queenstown,no,False
17,1,2,male,0.07514339510224774,0,0,2.6390573296152584,S,Second,man,True,Southampton,yes,True
18,0,3,female,0.09376255239098828,1,0,2.9444389791664403,S,Third,woman,False,Southampton,no,False
19,1,3,female,-0.5704561187100696,0,0,2.1071782966514356,C,Third,woman,False,Cherbourg,yes,True
20,0,2,male,0.38099224800225656,0,0,3.295836866004329,S,Second,man,True,Southampton,no,True
21,1,2,male,0.3091848240994395,0,0,2.6390573296152584,S,Second,man,True,Southampton,yes,True
22,1,3,female,-1.0551562300540849,0,0,2.2004637699272855,Q,Third,child,False,Queenstown,yes,True
23,1,1,male,-0.12165971931746294,0,0,3.597312260588446,S,First,man,True,Southampton,yes,True
24,0,3,female,-1.5578081973738045,3,1,3.0944457464900235,S,Third,child,False,Southampton,no,False
25,1,3,female,0.5964145197107078,1,5,3.4777725458882283,S,Third,woman,False,Southampton,yes,False
26,0,3,male,-0.22882591345669478,0,0,2.1071782966514356,C,Third,man,True,Cherbourg,no,True
27,0,1,male,-0.7679265344428166,3,2,5.575949103146316,S,First,man,True,Southampton,no,False
28,1,3,female,-0.5704561187100696,0,0,2.1837114628556327,Q,Third,woman,False,Queenstown,yes,True
29,0,3,male,-0.22882591345669478,0,0,2.1855792552411137,S,Third,man,True,Southampton,no,True
30,0,1,male,0.740029367516342,0,0,3.357621598945279,C,First,man,True,Cherbourg,no,True
31,1,1,female,0.35311407166351566,1,0,4.993969182787072,C,First,woman,False,Cherbourg,yes,False
32,1,3,female,-0.5704561187100696,0,0,2.169053700369523,Q,Third,woman,False,Queenstown,yes,True
33,0,2,male,2.607022388989586,0,0,2.4423470353692043,S,Second,man,True,Southampton,no,True
34,0,1,male,-0.12165971931746294,1,0,4.420896324687287,C,First,man,True,Cherbourg,no,False
35,0,1,male,0.8836442153219761,1,0,3.970291913552122,S,First,man,True,Southampton,no,False
36,1,3,male,-0.22882591345669478,0,0,2.1076888046179385,C,Third,man,True,Cherbourg,yes,True
37,0,3,male,-0.6243116866371824,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
38,0,3,female,-0.8397339583456337,2,0,2.9444389791664403,S,Third,woman,False,Southampton,no,False
39,1,3,female,-1.126963653956902,1,0,2.5048481563289,C,Third,child,False,Cherbourg,yes,False
40,0,3,female,0.740029367516342,1,0,2.348991465808201,S,Third,woman,False,Southampton,no,False
41,0,2,female,-0.19346714322028,1,0,3.091042453358316,S,Second,woman,False,Southampton,no,False
42,0,3,male,-0.22882591345669478,0,0,2.1855792552411137,C,Third,man,True,Cherbourg,no,True
43,1,2,female,-1.9168453168878898,1,2,3.7513658711253766,C,Second,child,False,Cherbourg,yes,False
44,1,3,female,-0.7679265344428166,0,0,2.1837114628556327,Q,Third,woman,False,Queenstown,yes,True
45,0,3,male,-0.22882591345669478,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
46,0,3,male,-0.22882591345669478,1,0,2.803360380906535,Q,Third,man,True,Queenstown,no,False
48,0,3,male,-0.22882591345669478,2,0,3.1214482048688246,C,Third,man,True,Cherbourg,no,False
49,0,3,female,-0.8397339583456337,1,0,2.9338568698359038,S,Third,woman,False,Southampton,no,False
50,0,3,male,-1.6296156212766215,4,1,3.705920919968788,S,Third,child,False,Southampton,no,False
51,0,3,male,-0.6243116866371824,0,0,2.174751721484161,S,Third,man,True,Southampton,no,True
52,1,1,female,1.3862961826416955,1,0,4.353230991152628,C,First,woman,False,Cherbourg,yes,False
53,1,2,female,-0.049852295414645864,1,0,3.295836866004329,S,Second,woman,False,Southampton,yes,False
54,0,1,male,2.535214965086769,0,1,4.142804513146981,C,First,man,True,Cherbourg,no,False
55,1,1,male,0.8320424051549814,0,0,3.597312260588446,S,First,man,True,Southampton,yes,True
56,1,2,female,-0.6243116866371824,0,0,2.4423470353692043,S,Second,woman,False,Southampton,yes,True
57,0,3,male,-0.0857560073660544,0,0,2.1076888046179385,C,Third,man,True,Cherbourg,no,True
58,1,2,female,-1.7732304690822556,1,2,3.3586377672433594,S,Second,child,False,Southampton,yes,False
59,0,3,male,-1.3423859256653532,5,2,3.8691155044168695,S,Third,child,False,Southampton,no,False
60,0,3,male,-0.5525042627343654,0,0,2.1076888046179385,C,Third,man,True,Cherbourg,no,True
61,1,1,female,0.5964145197107078,0,0,4.394449154672439,S,First,woman,False,Southampton,yes,True
62,0,1,male,1.0990664870304272,1,0,4.436455632600354,S,First,man,True,Southampton,no,False
63,0,3,male,-1.8450378929850726,3,2,3.3638415951183864,S,Third,child,False,Southampton,no,False
64,0,1,male,0.8320424051549814,0,0,3.357621598945279,C,First,man,True,Cherbourg,no,True
